sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","savedsearch_name","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_savedsearch_name","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"rt_1475191787.3","| metadata type=sourcetypes | search totalCount > 0",testingserver,"1475191787.847655",1,0,1475191788,0,0,canceled,"202.220000",,,,,,,,,,,,,,,,,,,,,
"1475192012.4","| eventcount list_vix=false summarize=false index=* index=_* | dedup index",testingserver,"1475192012.368008",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1475192328.5","| eventcount list_vix=false summarize=false index=* index=_* | dedup index",testingserver,"1475192328.187409",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_1475192350.6","| metadata type=sourcetypes | search totalCount > 0",testingserver,"1475192350.933137",1,0,1475192351,0,0,canceled,"85.155000",,,,,,,,,,,,,,,,,,,,,
"1475192414.7","| eventcount summarize=false index=* index=_* | dedup index",testingserver,"1475192414.346372",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1475192414.8","| eventcount summarize=false index=* index=_* | dedup index",testingserver,"1475192414.450952",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1475192414.9","| eventcount summarize=false index=* index=_* | dedup index",testingserver,"1475192414.532627",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1475192414.10","| eventcount summarize=false index=* index=_* | dedup index",testingserver,"1475192414.622782",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_1475192439.11","| metadata type=sourcetypes | search totalCount > 0",testingserver,"1475192439.368108",1,0,1475192439,0,0,canceled,"81.103000",,,,,,,,,,,,,,,,,,,,,
"1475192520.15","search index=weblog",testingserver,"1475192520.618479",0,25043,1475192520,8497,25043,completed,"4.630000",,,,,,,,,,,,,,,,,,,,,
"rt_1475192572.16","| metadata type=sourcetypes | search totalCount > 0",testingserver,"1475192572.154320",1,0,1475192572,0,0,canceled,"80.178000",,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search1_1475192625.17","| inputlookup WA_settings.csv | search key=site | fields value host source | rename value AS Site, host AS Host, source as Source",testingserver,"1475192625.735008",0,0,1475192625,0,0,completed,"0.027000",search1,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD516e4c269ecc047aa_1475192625.18","| outputlookup WA_settings.csv createinapp=t append=t",testingserver,"1475192625.774243",0,0,1475192625,0,0,completed,"0.020000","createlookup_settings",,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search2_1475192625.19","| metasearch | search [rest /services/properties/eventtypes/web-traffic/search splunk_server=local| eval search=value] | stats count AS events by host, source | search host=*** OR source=***   | lookup WA_settings source AS source host AS host OUTPUTNEW value AS site | eval Configured=site | fields host source Configured site events",testingserver,"1475192625.783729",0,25043,1475192625,1,25043,completed,"0.224000",search2,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search1_1475192664.20","search tag=web | head 5 | stats count AS Events | eval Check=Events",testingserver,"1475192664.884605",0,5,1475192665,1,55,completed,"0.276000",search1,"1420038000.000000000","1475192664.000000000","1420038000.000000000","1475192664.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search2_1475192665.21","| tstats prestats=t count where index=* by host,source,sourcetype  | search [rest /services/properties/eventtypes/web-traffic/search splunk_server=local | eval search=value] | stats count AS events by host, source  |  lookup WA_settings source AS source host AS host OUTPUTNEW value AS site | eval Check=site | fields host source Check",testingserver,"1475192665.040868",0,25043,1475192665,1,25043,completed,"0.128000",search2,,"1475192665.000000000",,"1475192665.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search3_1475192666.22","| inputlookup WA_sessions | stats dc(http_session) AS Sessions | appendcols [| inputlookup WA_pages | stats dc(http_request) AS Pages] | transpose | rename column AS Lookup ""row 1"" as Count | eval Check=Count",testingserver,"1475192666.023939",0,0,1475192666,2,0,completed,"0.449000",search3,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search4_1475192666.23","| rest /servicesNS/-/-/data/models splunk_server=local | rename ""acceleration.earliest_time"" as Acceleration_Retention ""eai:acl.app"" as App ""acceleration.cron_schedule"" as Cron ""acceleration"" as Acceleration title AS Data_Model | table Data_Model App Acceleration Cron Acceleration_Retention updated  | eval Cron=if(isnull(Cron),"""",Cron) | join App type=outer [| rest /servicesNS/nobody/SplunkAppForWebAnalytics/admin/summarization/tstats:DM_SplunkAppForWebAnalytics_Web splunk_server=local | fields eai:acl.app summary*  | rename summary.access_count AS ""Access_Count""  summary.access_time AS ""Last_Access"" summary.buckets AS ""Buckets"" summary.complete AS ""Status"" summary.size AS ""Size_on_Disk_(Mb)"" summary.last_error AS ""Last_Error"" summary.time_range AS ""Summary_Range"" summary.mod_time AS ""Updated"" summary.earliest_time AS ""Min_Time"" summary.latest_time AS ""Max_Time"" summary.is_inprogress AS ""Summary_in_Progress"" eai:acl.app AS App | eval Status=round(Status*100,2).""%"" ] | table Data_Model App Acceleration Acceleration_Retention Cron Summary_in_Progress Status Size_on_Disk_(Mb) Last_Error Min_Time Max_Time Now_Time Lag_Seconds Lag_Minutes Lag_Hours | where like(Data_Model,""Web"") | eval Status=if(isnull(Status),""0.00%"",Status) | fields Acceleration Status | transpose | rename column AS Web ""row 1"" as Value | eval Check=Value | append [| tstats summariesonly=t  count AS Events FROM datamodel=Web | transpose | rename column AS Web ""row 1"" AS Value | eval Check=Value]",testingserver,"1475192666.065373",0,0,1475192666,3,0,completed,"1.363000",search4,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD516e4c269ecc047aa_1475192666.24","| outputlookup WA_settings.csv createinapp=t append=t",testingserver,"1475192666.173935",0,0,1475192666,0,0,completed,"0.159000","createlookup_settings",,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD594eb352e8b5d09df_1475192666.25","| outputlookup WA_goals.csv createinapp=t append=t",testingserver,"1475192666.595486",0,0,1475192667,0,0,completed,"0.033000","createlookup_goals",,,,,,,,,,,,,,,,,,,,
"1475192932.26","| tstats prestats=t count where index=* by host,source,sourcetype  | search [rest /services/properties/eventtypes/web-traffic/search splunk_server=local | eval search=value]  host=testingserver",testingserver,"1475192932.963347",0,3,1475192933,3,25043,completed,"0.071000",,,"1475192665.000000000",,"1475192665.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search1_1475192963.27","search tag=web | head 5 | stats count AS Events | eval Check=Events",testingserver,"1475192963.397963",0,5,1475192963,1,55,completed,"0.263000",search1,"1420038000.000000000","1475192963.000000000","1420038000.000000000","1475192963.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search2_1475192963.28","| tstats prestats=t count where index=* by host,source,sourcetype  | search [rest /services/properties/eventtypes/web-traffic/search splunk_server=local | eval search=value] | stats count AS events by host, source  |  lookup WA_settings source AS source host AS host OUTPUTNEW value AS site | eval Check=site | fields host source Check",testingserver,"1475192963.399627",0,25043,1475192963,1,25043,completed,"0.124000",search2,,"1475192963.000000000",,"1475192963.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search3_1475192964.29","| inputlookup WA_sessions | stats dc(http_session) AS Sessions | appendcols [| inputlookup WA_pages | stats dc(http_request) AS Pages] | transpose | rename column AS Lookup ""row 1"" as Count | eval Check=Count",testingserver,"1475192964.427183",0,0,1475192964,2,0,completed,"0.375000",search3,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search4_1475192964.30","| rest /servicesNS/-/-/data/models splunk_server=local | rename ""acceleration.earliest_time"" as Acceleration_Retention ""eai:acl.app"" as App ""acceleration.cron_schedule"" as Cron ""acceleration"" as Acceleration title AS Data_Model | table Data_Model App Acceleration Cron Acceleration_Retention updated  | eval Cron=if(isnull(Cron),"""",Cron) | join App type=outer [| rest /servicesNS/nobody/SplunkAppForWebAnalytics/admin/summarization/tstats:DM_SplunkAppForWebAnalytics_Web splunk_server=local | fields eai:acl.app summary*  | rename summary.access_count AS ""Access_Count""  summary.access_time AS ""Last_Access"" summary.buckets AS ""Buckets"" summary.complete AS ""Status"" summary.size AS ""Size_on_Disk_(Mb)"" summary.last_error AS ""Last_Error"" summary.time_range AS ""Summary_Range"" summary.mod_time AS ""Updated"" summary.earliest_time AS ""Min_Time"" summary.latest_time AS ""Max_Time"" summary.is_inprogress AS ""Summary_in_Progress"" eai:acl.app AS App | eval Status=round(Status*100,2).""%"" ] | table Data_Model App Acceleration Acceleration_Retention Cron Summary_in_Progress Status Size_on_Disk_(Mb) Last_Error Min_Time Max_Time Now_Time Lag_Seconds Lag_Minutes Lag_Hours | where like(Data_Model,""Web"") | eval Status=if(isnull(Status),""0.00%"",Status) | fields Acceleration Status | transpose | rename column AS Web ""row 1"" as Value | eval Check=Value | append [| tstats summariesonly=t  count AS Events FROM datamodel=Web | transpose | rename column AS Web ""row 1"" AS Value | eval Check=Value]",testingserver,"1475192964.502418",0,0,1475192964,3,0,completed,"1.088000",search4,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD594eb352e8b5d09df_1475192964.31","| outputlookup WA_goals.csv createinapp=t append=t",testingserver,"1475192964.592425",0,0,1475192964,0,0,completed,"0.052000","createlookup_goals",,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD516e4c269ecc047aa_1475192964.32","| outputlookup WA_settings.csv createinapp=t append=t",testingserver,"1475192964.683180",0,0,1475192964,0,0,completed,"0.065000","createlookup_settings",,,,,,,,,,,,,,,,,,,,
