sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__base_1475626167.39","search index = _internal | stats count, mode(status) by method, status, date_hour",testingserver,"1475626167.685496",0,160632,1475626167,103,base,160632,canceled,"1.919000","1475020800.000000000","1475626167.000000000","1475020800.000000000","1475626167.000000000",,,,,,,,,,,,,,,,
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__base_1475626176.40","search index = _internal | stats count, mode(status) by method, status, date_hour",testingserver,"1475626176.695799",0,331474,1475626176,0,base,331474,canceled,"3.908000",,,,,,,,,,,,,,,,,,,,
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__basesearch_1475626280.41","search index=_internal sourcetype=splunkd_access | timechart span=1m count by status",testingserver,"1475626280.191151",0,247,1475626280,192,basesearch,247,completed,"0.135000","1475614800.000000000","1475626280.000000000","1475614800.000000000","1475626280.000000000",,,,,,,,,,,,,,,,
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__search2_1475660576.19","search index=_internal | stats count by sourcetype",testingserver,"1475660576.787892",0,70004,1475660576,9,search2,70004,completed,"1.033000","1475574176.000000000",,"1475574176.000000000",,,,,,,,,,,,,,,,,
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__search1_1475660576.20","search index=_internal | timechart count by sourcetype",testingserver,"1475660576.819680",0,70004,1475660576,49,search1,70004,completed,"0.977000","1475574176.000000000",,"1475574176.000000000",,,,,,,,,,,,,,,,,
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__search2_1475660598.21","search index=_internal | stats count by sourcetype",testingserver,"1475660598.793590",0,70113,1475660598,9,search2,70113,completed,"0.838000","1475574198.000000000",,"1475574198.000000000",,,,,,,,,,,,,,,,,
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__search1_1475660598.22","search index=_internal | timechart count by sourcetype",testingserver,"1475660598.829838",0,70113,1475660598,49,search1,70113,completed,"0.796000","1475574198.000000000",,"1475574198.000000000",,,,,,,,,,,,,,,,,
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__search1_1475660627.23","search index=_internal | top limit=100 sourcetype | eval percent = round(percent,2)",testingserver,"1475660627.784687",0,75053,1475660627,9,search1,75053,completed,"0.828000","1475571600.000000000","1475660627.000000000","1475571600.000000000","1475660627.000000000",,,,,,,,,,,,,,,,
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__search2_1475660627.24","search index=_internal | top limit=100 sourcetype | eval percent = round(percent,2)",testingserver,"1475660627.792104",0,75053,1475660627,9,search2,75053,completed,"0.799000","1475571600.000000000","1475660627.000000000","1475571600.000000000","1475660627.000000000",,,,,,,,,,,,,,,,
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__search1_1475660675.25","search index=_internal | top limit=100 sourcetype | eval percent = round(percent,2)",testingserver,"1475660675.979737",0,207396,1475660676,10,search1,207396,completed,"1.617000","1475053200.000000000","1475660675.000000000","1475053200.000000000","1475660675.000000000",,,,,,,,,,,,,,,,
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__search2_1475660675.26","search index=_internal | top limit=100 sourcetype | eval percent = round(percent,2)",testingserver,"1475660675.989079",0,207396,1475660676,10,search2,207396,completed,"1.582000","1475053200.000000000","1475660675.000000000","1475053200.000000000","1475660675.000000000",,,,,,,,,,,,,,,,
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__search3_1475660688.27","search index=_internal | stats count by sourcetype",testingserver,"1475660688.179804",0,70227,1475660688,9,search3,70227,completed,"0.495000","1475574288.000000000","1475660688.000000000","1475574288.000000000","1475660688.000000000",,,,,,,,,,,,,,,,
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__search1_1475660689.28","search index=_internal user=* sourcetype=""*"" | timechart count",testingserver,"1475660689.545501",0,10211,1475660689,50,search1,75283,completed,"0.934000","1475571600.000000000","1475660689.000000000","1475571600.000000000","1475660689.000000000",,,,,,,,,,,,,,,,
"admin__admin_c2ltcGxlX3htbF9leGFtcGxlcw__search2_1475660689.29","search index=_internal user=* sourcetype=""*"" | table _time, user, sourcetype, _raw",testingserver,"1475660689.547303",0,10211,1475660689,10211,search2,75283,completed,"1.111000","1475571600.000000000","1475660689.000000000","1475571600.000000000","1475660689.000000000",,,,,,,,,,,,,,,,
